Time,Period,Team,Primary Player,Secondary Player,Play Description,Event Type,Action Type,Outcome,Distance (ft),Current Points Scored,IND Cum. Score,SAS Cum. Score
4:41.0,Q1,Indiana Pacers,D. Vassell,A. Nesmith,Personal foul by D. Vassell(drawn by A. Nesmith),Foul,Personal,N/A,N/A,No points scored,IND: 21,SAS: 18
4:32.0,Q1,Indiana Pacers,T. Bryant,A. Nembhard,T. Bryant makes 2-pt layup from 5 ft (assist by A. Nembhard),Shot,Layup,Made,5 ft,IND: 2,IND: 23,SAS: 18
4:13.0,Q1,San Antonio Spurs,T. Jones,,Turnover by T. Jones(bad pass; steal by T. Bryant),Turnover,bad pass; steal by T. Bryant,N/A,N/A,No points scored,IND: 23,SAS: 18
4:02.0,Q1,Indiana Pacers,T. Haliburton,,T. Haliburton misses 2-pt jump shot from 7 ft,Shot,Jump Shot,Missed,7 ft,No points scored,IND: 23,SAS: 18
3:59.0,Q1,San Antonio Spurs,J. Sochan,,Defensive rebound by J. Sochan,Rebound,Defensive,N/A,N/A,No points scored,IND: 23,SAS: 18
3:52.0,Q1,San Antonio Spurs,D. Vassell,,D. Vassell misses 3-pt jump shot from 26 ft,Shot,Jump Shot,Missed,26 ft,No points scored,IND: 23,SAS: 18
3:49.0,Q1,Indiana Pacers,O. Toppin,,Defensive rebound by O. Toppin,Rebound,Defensive,N/A,N/A,No points scored,IND: 23,SAS: 18
3:45.0,Q1,Indiana Pacers,T. Haliburton,,T. Haliburton misses 3-pt jump shot from 30 ft,Shot,Jump Shot,Missed,30 ft,No points scored,IND: 23,SAS: 18
3:43.0,Q1,San Antonio Spurs,K. Johnson,,Defensive rebound by K. Johnson,Rebound,Defensive,N/A,N/A,No points scored,IND: 23,SAS: 18
3:35.0,Q1,San Antonio Spurs,K. Johnson,,Turnover by K. Johnson(lost ball; steal by T. Bryant),Turnover,lost ball; steal by T. Bryant,N/A,N/A,No points scored,IND: 23,SAS: 18
3:31.0,Q1,Indiana Pacers,O. Toppin,,O. Toppin misses 2-pt layup from 5 ft,Shot,Layup,Missed,5 ft,No points scored,IND: 23,SAS: 18
3:27.0,Q1,Indiana Pacers,A. Nesmith,,Offensive rebound by A. Nesmith,Rebound,Offensive,N/A,N/A,No points scored,IND: 23,SAS: 18
3:27.0,Q1,Indiana Pacers,A. Nesmith,,A. Nesmith misses 2-pt dunk at rim,Shot,Dunk,Missed,N/A,No points scored,IND: 23,SAS: 18
3:27.0,Q1,Indiana Pacers,T. Haliburton,,Offensive rebound by T. Haliburton,Rebound,Offensive,N/A,N/A,No points scored,IND: 23,SAS: 18
3:25.0,Q1,Indiana Pacers,O. Toppin,,O. Toppin misses 3-pt jump shot from 23 ft,Shot,Jump Shot,Missed,23 ft,No points scored,IND: 23,SAS: 18
3:25.0,Q1,San Antonio Spurs,,,Defensive rebound by Team,Rebound,Defensive,N/A,N/A,No points scored,IND: 23,SAS: 18
3:25.0,Q1,Indiana Pacers,T. Bryant,H. Barnes,Loose ball foul by T. Bryant(drawn by H. Barnes),Foul,Loose Ball,N/A,N/A,No points scored,IND: 23,SAS: 18
3:25.0,Q1,Indiana Pacers,,,Indiana full timeout,Timeout,Full,N/A,N/A,No points scored,IND: 23,SAS: 18
3:25.0,Q1,Indiana Pacers,T. McConnell,,T. McConnell enters the game for T. Haliburton,Substitution,Enters Game,N/A,N/A,No points scored,IND: 23,SAS: 18
